,noise,cutoff,true_model,best_model_AIC,best_model_AICc,best_model_BIC,mean_err_AIC,mean_err_AICc,mean_err_BIC
0,5,90,rw1,rw2_val,rw2_val,rw1,0.6873948956099113,0.6873948956099113,0.20420641341180656
0,5,90,rw2_val,rw1,rw1,rw1,2.1936281713016714,2.1936281713016714,2.1936281713016714
0,5,90,rw2_state,rw4_val_state,rw4_val_state,rw2_val,0.12243553967648096,0.12243553967648096,2.987032194804147
0,5,90,rw4_val_state,rw2_val,rw2_val,rw2_val,2.084969264829441,2.084969264829441,2.084969264829441
0,5,90,rw1,rw2_val,rw2_val,rw2_val,0.9872587398876101,0.9872587398876101,0.9872587398876101
0,5,90,rw2_val,rw4_val_state,rw4_val_state,rw2_state,2.1163138618339916,2.1163138618339916,1.1773409609205212
0,5,90,rw2_state,rw1,rw1,rw1,1.4602086127925662,1.4602086127925662,1.4602086127925662
0,5,90,rw4_val_state,rw2_state,rw2_state,rw2_state,0.8657126373323735,0.8657126373323735,0.8657126373323735
0,5,120,rw1,rw2_val,rw2_val,rw2_val,13.15898957851611,13.15898957851611,13.15898957851611
0,5,120,rw2_val,rw2_val,rw2_val,rw2_val,12.99602332485108,12.99602332485108,12.99602332485108
0,5,120,rw2_state,rw2_val,rw2_val,rw2_val,3.597757288385696,3.597757288385696,3.597757288385696
0,5,120,rw4_val_state,rw1,rw1,rw1,2.060805619210979,2.060805619210979,2.060805619210979
0,5,120,rw1,rw4_val_state,rw1,rw1,1.023972568058022,0.3894183820114382,0.3894183820114382
0,5,120,rw2_val,rw2_val,rw2_val,rw2_val,2.4751222655296385,2.4751222655296385,2.4751222655296385
0,5,120,rw2_state,rw2_state,rw2_state,rw1,0.3352848834890071,0.3352848834890071,2.0601414329542016
0,5,120,rw4_val_state,rw2_val,rw2_val,rw2_val,4.5932667507366896,4.5932667507366896,4.5932667507366896
0,5,150,rw1,rw1,rw1,rw1,0.15188749547413422,0.15188749547413422,0.15188749547413422
0,5,150,rw2_val,rw2_val,rw2_val,rw2_val,1.7097068872799293,1.7097068872799293,1.7097068872799293
0,5,150,rw2_state,rw2_val,rw2_val,rw2_val,3.7595544250105117,3.7595544250105117,3.7595544250105117
0,5,150,rw4_val_state,rw2_state,rw2_state,rw2_state,1.7134339009859854,1.7134339009859854,1.7134339009859854
0,5,150,rw1,rw2_state,rw2_state,rw2_state,10.05778554957754,10.05778554957754,10.05778554957754
0,5,150,rw2_val,rw2_val,rw2_val,rw2_val,3.9908866007109385,3.9908866007109385,3.9908866007109385
0,5,150,rw2_state,rw4_val_state,rw4_val_state,rw4_val_state,3.5155885251143975,3.5155885251143975,3.5155885251143975
0,5,150,rw4_val_state,rw2_state,rw2_state,rw2_state,1.773042211231894,1.773042211231894,1.773042211231894
0,10,90,rw1,rw2_state,rw2_state,rw2_state,0.16265928573178146,0.16265928573178146,0.16265928573178146
0,10,90,rw2_val,rw4_val_state,rw4_val_state,rw4_val_state,1.7453498830301089,1.7453498830301089,1.7453498830301089
0,10,90,rw2_state,rw2_state,rw2_state,rw2_state,1.7675601700488077,1.7675601700488077,1.7675601700488077
0,10,90,rw4_val_state,rw4_val_state,rw4_val_state,rw4_val_state,0.19453655196051944,0.19453655196051944,0.19453655196051944
0,10,90,rw1,rw1,rw1,rw1,0.37563869998084626,0.37563869998084626,0.37563869998084626
0,10,90,rw2_val,rw2_val,rw2_val,rw2_val,2.077045117164857,2.077045117164857,2.077045117164857
0,10,90,rw2_state,rw2_state,rw2_state,rw2_state,0.27259584517878227,0.27259584517878227,0.27259584517878227
0,10,90,rw4_val_state,rw4_val_state,rw4_val_state,rw2_val,1.9362857269311102,1.9362857269311102,4.835818763631387
0,10,120,rw1,rw2_state,rw2_state,rw1,0.1969868301936219,0.1969868301936219,1.4170339342099798
0,10,120,rw2_val,rw2_state,rw2_state,rw2_state,0.5243232995762952,0.5243232995762952,0.5243232995762952
0,10,120,rw2_state,rw2_state,rw2_state,rw2_state,0.4148152510487997,0.4148152510487997,0.4148152510487997
0,10,120,rw4_val_state,rw2_state,rw2_state,rw2_state,2.0403661959977892,2.0403661959977892,2.0403661959977892
0,10,120,rw1,rw1,rw1,rw1,1.021674606847938,1.021674606847938,1.021674606847938
0,10,120,rw2_val,rw4_val_state,rw4_val_state,rw4_val_state,25.816390284006403,25.816390284006403,25.816390284006403
0,10,120,rw2_state,rw4_val_state,rw4_val_state,rw2_val,0.6535576228089994,0.6535576228089994,2.656088964354834
0,10,120,rw4_val_state,rw4_val_state,rw4_val_state,rw4_val_state,3.516356299589393,3.516356299589393,3.516356299589393
0,10,150,rw1,rw2_val,rw2_val,rw2_val,0.5027705328023376,0.5027705328023376,0.5027705328023376
0,10,150,rw2_val,rw2_state,rw2_state,rw1,2.4272600997681093,2.4272600997681093,3.9920640584696256
0,10,150,rw2_state,rw2_val,rw2_val,rw2_val,5.6673105226596325,5.6673105226596325,5.6673105226596325
0,10,150,rw4_val_state,rw1,rw1,rw1,7.355841593895064,7.355841593895064,7.355841593895064
0,10,150,rw1,rw2_state,rw2_state,rw2_state,2.0451190439101397,2.0451190439101397,2.0451190439101397
0,10,150,rw2_val,rw2_val,rw2_val,rw2_val,1.6464400796141196,1.6464400796141196,1.6464400796141196
0,10,150,rw2_state,rw1,rw1,rw1,5.516379920362926,5.516379920362926,5.516379920362926
0,10,150,rw4_val_state,rw2_state,rw2_state,rw2_state,8.52268419665953,8.52268419665953,8.52268419665953
0,20,90,rw1,rw2_state,rw2_state,rw1,0.8214501609747171,0.8214501609747171,0.5735809571994294
0,20,90,rw2_val,rw2_state,rw2_state,rw2_state,6.0579402614387075,6.0579402614387075,6.0579402614387075
0,20,90,rw2_state,rw2_state,rw2_state,rw2_state,0.32793477901193413,0.32793477901193413,0.32793477901193413
0,20,90,rw4_val_state,rw4_val_state,rw4_val_state,rw4_val_state,0.503011251847274,0.503011251847274,0.503011251847274
0,20,90,rw1,rw1,rw1,rw1,0.0417850295141601,0.0417850295141601,0.0417850295141601
0,20,90,rw2_val,rw1,rw1,rw1,0.21546983887618984,0.21546983887618984,0.21546983887618984
0,20,90,rw2_state,rw1,rw1,rw1,2.31524341729462,2.31524341729462,2.31524341729462
0,20,90,rw4_val_state,rw2_state,rw2_state,rw2_state,1.0464042735807346,1.0464042735807346,1.0464042735807346
0,20,120,rw1,rw1,rw1,rw1,1.3615871647707058,1.3615871647707058,1.3615871647707058
0,20,120,rw2_val,rw2_val,rw2_val,rw2_val,1.0699875608507816,1.0699875608507816,1.0699875608507816
0,20,120,rw2_state,rw2_state,rw2_state,rw2_state,1.9251652088772484,1.9251652088772484,1.9251652088772484
0,20,120,rw4_val_state,rw4_val_state,rw4_val_state,rw1,0.5038628654521834,0.5038628654521834,2.7065613035476783
0,20,120,rw1,rw2_val,rw2_val,rw2_val,1.1258137391530845,1.1258137391530845,1.1258137391530845
0,20,120,rw2_val,rw2_val,rw2_val,rw2_val,0.34632212882581354,0.34632212882581354,0.34632212882581354
0,20,120,rw2_state,rw2_state,rw2_state,rw2_state,2.720291872321944,2.720291872321944,2.720291872321944
0,20,120,rw4_val_state,rw4_val_state,rw4_val_state,rw4_val_state,0.12179839785208846,0.12179839785208846,0.12179839785208846
0,20,150,rw1,rw2_state,rw2_state,rw2_state,2.0240499946893156,2.0240499946893156,2.0240499946893156
0,20,150,rw2_val,rw2_val,rw2_val,rw2_val,5.407397332553817,5.407397332553817,5.407397332553817
0,20,150,rw2_state,rw2_state,rw2_state,rw1,6.170065288491312,6.170065288491312,4.797938553350037
0,20,150,rw4_val_state,rw2_state,rw2_state,rw1,5.4949152797935,5.4949152797935,6.564001737576155
0,20,150,rw1,rw2_state,rw2_state,rw2_state,7.887804129281557,7.887804129281557,7.887804129281557
0,20,150,rw2_val,rw4_val_state,rw4_val_state,rw4_val_state,6.65257357479562,6.65257357479562,6.65257357479562
0,20,150,rw2_state,rw1,rw1,rw1,2.986080599137129,2.986080599137129,2.986080599137129
0,20,150,rw4_val_state,rw4_val_state,rw4_val_state,rw4_val_state,5.224523728039907,5.224523728039907,5.224523728039907
